INTEGER;DOUBLE;DOUBLE;DOUBLE;DOUBLE;CATEGORICAL
ID;Sep_len;Sep_wid;Pet_len;Pet_wid;gruop
0;5.1;3.5;1.4;0.2;6
1;4.4;3;1.3;0.2;6
2;6.5;2.8;4.6;1.5;6
3;6.4;2.9;4.3;1.3;6
4;6.8;2.8;4.8;1.4;6
5;5.5;2.4;3.8;1.1;6
6;6.4;3.2;5.3;2.3;6
7;6.3;2.7;4.9;1.8;6
8;7.7;3;6.1;2.3;6
9;4.6;3.1;1.5;0.2;6
10;5.4;3.9;1.3;0.4;6
11;4.8;3.1;1.6;0.2;6
12;5;3.5;1.6;0.6;6
13;5.2;2.7;3.9;1.4;6
14;5;2;3.5;1;6
15;6.7;3.1;4.7;1.5;6
16;5.6;3;4.1;1.3;6
17;5.7;2.5;5;2;6
18;6.1;3;4.9;1.8;6
19;6.3;2.5;5;1.9;6
20;6.5;3;5.2;2;6
21;4.6;3.4;1.4;0.3;6
22;4.8;3.4;1.6;0.2;4
23;5.1;3.5;1.4;0.3;4
24;6;2.2;4;1;4
25;5.7;3;4.2;1.2;4
26;5;3.6;1.4;0.2;4
27;4.4;2.9;1.4;0.2;4
28;5.7;3.8;1.7;0.3;4
29;4.9;2.4;3.3;1;4
30;5.6;3;4.5;1.5;4
31;5.5;2.5;4;1.3;4
32;6.2;2.9;4.3;1.3;4
33;6.7;2.5;5.8;1.8;4
34;6.5;3.2;5.1;2;4
35;5.6;2.8;4.9;2;4
36;5.9;3;5.1;1.8;4
37;6.4;3.2;4.5;1.5;4
38;6.3;2.5;4.9;1.5;4
39;6.1;2.8;4.7;1.2;4
40;6.1;3;4.6;1.4;4
41;6.4;2.8;5.6;2.2;4
42;6;3;4.8;1.8;4
43;6.8;3.2;5.9;2.3;4
44;4.9;3.1;1.5;0.1;3
45;5.2;3.4;1.4;0.2;3
46;5.7;2.8;4.5;1.3;3
47;6.3;3.3;4.7;1.6;3
48;6.6;2.9;4.6;1.3;3
49;6.1;2.9;4.7;1.4;3
50;5.8;2.7;4.1;1;3
51;6.6;3;4.4;1.4;3
52;6.3;2.3;4.4;1.3;3
53;5.8;2.7;5.1;1.9;3
54;7.1;3;5.9;2.1;3
55;7.9;3.8;6.4;2;3
56;6.9;3.1;5.1;2.3;3
57;6.7;3.3;5.7;2.5;3
58;5.1;3.8;1.5;0.3;3
59;4.8;3.4;1.9;0.2;3
60;5;3.4;1.6;0.4;3
61;5;3.2;1.2;0.2;3
62;5.5;3.5;1.3;0.2;3
63;4.5;2.3;1.3;0.3;3
64;5.5;2.3;4;1.3;3
65;6;3.4;4.5;1.6;1
