"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"sil"
-0.26204128440367;-0.795918367346939;-0.432048681541582;-0.312689173457508;-0.732540861812779;-0.642553965559059;-0.0628183361629882;-0.0687358947925704;-0.367022169969768;-0.469282511210762;-0.35718201754386;0.138797560195472
-0.757264957264957;-0.464655984919887;-0.468410256410256;-0.427305253623189;-0.800841514726508;-0.137754494582689;-0.488308331048529;-0.408275995736035;-0.26821607290012;-0.432402935799842;-0.672547788201123;0.271693688679005
-0.375248180013236;-0.729667812142039;-0.105247933884297;-0.447671091060592;-0.801458216489063;-0.115707434052758;0.147118644067796;-0.632775508068382;-0.316421631115266;-0.460402010050251;-0.736974087489551;0.174806525104767
-0.264487771892257;-0.635502754820936;-0.425594863401737;-0.263383277839437;-0.281820676842528;-0.333537727814682;0.36598399565984;-0.268009559576657;-0.345375722543353;-0.338615159225846;-0.426513911620295;0.288550794030417
-0.264487771892257;-0.635502754820936;-0.425594863401737;-0.263383277839437;-0.281820676842528;-0.333537727814682;0.36598399565984;-0.268009559576657;-0.345375722543353;-0.338615159225846;-0.426513911620295;0.288550794030417
-0.375248180013236;-0.729667812142039;-0.105247933884297;-0.447671091060592;-0.801458216489063;-0.115707434052758;0.147118644067796;-0.632775508068382;-0.316421631115266;-0.460402010050251;-0.736974087489551;0.174806525104767
-0.870310825294747;-0.277617062310332;-0.591025641025641;-0.279982031068861;-0.846544071020926;-0.517081736909323;0.134653084758793;-0.412719397014216;-0.506217070600632;-0.377685787502464;-0.734164391698639;0.13083689011847
-0.26204128440367;-0.795918367346939;-0.432048681541582;-0.312689173457508;-0.732540861812779;-0.642553965559059;-0.0628183361629882;-0.0687358947925704;-0.367022169969768;-0.469282511210762;-0.35718201754386;0.138797560195472
-0.757264957264957;-0.464655984919887;-0.468410256410256;-0.427305253623189;-0.800841514726508;-0.137754494582689;-0.488308331048529;-0.408275995736035;-0.26821607290012;-0.432402935799842;-0.672547788201123;0.271693688679005
-0.402677651905252;-0.745276389756402;-0.207872105210262;-0.661672998820909;-0.685238784370477;-0.542081750025675;0.0649771499792272;-0.610864880250482;-0.269082129876101;-0.432936802973978;-0.474256707759246;0.227012875285149
-0.397201291711518;-0.895678092399404;-0.164529914529915;-0.230085784313726;-0.445148795559593;-0.444444444444444;0.0436559539290358;-0.396913089560147;-0.243187203791469;-0.633443344334434;-0.424827237485252;-0.0381001917683415
-0.444362564480472;-0.77289156626506;-0.130437424058323;-0.45100162425555;-0.29297024401438;0.269050198627663;-0.439074074074074;-0.386941683251425;-0.600164234257773;-0.53764880952381;-0.69009358996998;0.263135410325997
-0.421513944223108;-0.600947051226861;-0.0603468479025079;-0.583735872750105;-0.5275;-0.272147283995625;-0.16789403835645;-0.279103190571984;-0.545812871543034;-0.937735849056604;-0.659598853868194;-0.0245492342522409
-0.220744918972155;-0.451065891472868;-0.0939357622243524;-0.649583572110793;-0.754956383822363;-0.238054814455494;-0.0651815181518152;-0.452869069838795;-0.678125;-0.485363151002316;-0.49232385261797;0.467881808580706
-0.328804347826087;-0.281943611277744;-0.212746806039489;-0.204254409406735;-0.583217270194986;-0.635208816705336;0.0492083868207103;-0.0272826086956504;-0.0537765017667847;-0.841813135985199;-0.331639632597224;0.220523481680854
-0.357817338931848;-0.343039772727272;-0.245487159045612;0.145321100917431;-0.422151107136119;-0.136720943290286;-0.416948254157556;-0.237452805552245;-0.261338146459535;-0.513823682837767;-0.264705882352941;0.224261919529719
-0.75026455026455;-0.425846632931102;-0.325457317073171;-0.137003037462031;-0.915533285612026;-0.115707434052758;0.00734656099959503;-0.812947292351444;-0.329328682038628;-0.57307621671258;-0.810285435268688;0.470224346541868
-0.862582781456953;-0.275128124673152;-0.304240631163708;-0.177370498273311;-0.196089637539479;-0.724276597604686;0.16789403835645;-0.206644084702387;-0.332114118507682;-0.386548410938655;-0.19019171111468;0.015768724895337
-0.324010205045828;-0.224551821345197;-0.18689666086406;-0.725;-0.578239655185497;-0.476614246820269;-0.306031350565763;-0.563404257705904;-0.499603758632401;-0.275286982889322;-0.373714520773344;0.434693939062067
-0.358090185676392;-0.33001107419712;-0.553834808259587;-0.34405222854447;-0.766409266409266;-0.103976465814567;0.240236938247083;-0.580424724083474;-0.329932964150392;-0.401464186782746;-0.780737096568981;0.344299908492508
-0.862582781456953;-0.275128124673152;-0.304240631163708;-0.177370498273311;-0.196089637539479;-0.724276597604686;0.16789403835645;-0.206644084702387;-0.332114118507682;-0.386548410938655;-0.19019171111468;0.015768724895337
-0.642470205850487;-0.513919575784357;-0.108780726427785;-1;-0.367816091954023;-0.221927497789567;0.213903743315508;-0.435893922786519;-0.467169703533556;-0.526087947140579;-0.523603291468168;0.516835008282681
-0.155144950621217;-1;-0.166977069025724;-0.24998398291511;-0.858695652173913;-0.146230158730159;-0.397068965517241;-0.92125757138735;-0.894069714803078;-0.561500436173306;-1;0.227903707631365
-0.295177530471648;-0.144411473788328;-0.571678321678322;-0.759880585516179;-0.221349785006543;-0.724712134632418;-0.320740740740741;-0.685393258426963;-0.363110008271298;-0.245174593516547;-0.698466595625552;-0.0275769828925022
-0.347738638834529;-0.869605142332415;-0.238172338090011;-0.429044180118946;-0.538961038961039;-0.168746976294146;-0.577380952380952;-0.350213227427933;-0.923860589812332;-0.44916605844349;-0.503826955074875;0.317958016716446
-0.266081204379562;-0.908998988877654;-0.580724508050089;-0.531530664613805;-0.875690607734807;-0.736435649620749;0.562289562289562;-0.497487122285031;-0.279804692798047;-0.194414607948443;-0.903640256959315;0.290938590091539
-0.359231651376146;-0.826572410147992;-0.301030531908085;-0.718266377539375;-0.443266171792153;-0.219208211143695;0.088230008984726;-0.924731182795683;-0.956575682382133;-0.394614572333685;-0.518558951965066;0.358065593803139
-0.359428327645051;-0.71549534292972;-0.196713769306606;-0.504592370299641;-0.763046544428773;-0.579352850539291;0.291614299678816;-0.531560569433252;-0.692682926829268;-0.409094922737307;-1;0.125823051218139
-0.265566801619433;-0.869605142332415;-0.251859504132232;-0.392829518547751;-1;-0.434164934164934;-0.488308331048529;-0.45263883295298;-0.43658690396945;-0.432402935799842;-0.485271992447932;0.00884884191571027
-0.336268744486915;-0.194914371727996;-0.211597435182603;-0.520063357972545;-0.219804060824812;-0.421781842818428;0.292079207920792;-0.395218210181875;-0.495637812105314;-0.7026913372582;-0.256021587632956;0.319167515498072
-0.364539007092198;-0.807692307692308;-0.362322810381429;-0.64828320383876;-0.59578947368421;-0.675897435897436;-0.48952380952381;-0.264028032173294;-0.559839900783584;-0.454396290351346;-0.519141323792487;-0.0569582339200167
-0.39514788966434;-0.504910352283989;-0.373083057293583;-0.149719730941704;-0.666348903717827;-0.50469158590986;0.494196428571428;-0.864138548820579;-0.908456843940714;-0.326371826371826;-0.686333084391336;0.382600344634478
-0.329761573945423;-0.851572327044025;-0.13235294117647;-0.20175089534421;-0.801458216489063;0.0475403059115337;-0.245454545454545;-0.166361974405826;-0.488654626157496;-0.460402010050251;-0.711843711843711;0.45114467316978
-0.861702127659574;-0.269465542146218;-0.309148264984227;-0.238805479452055;-0.818604651162791;-0.131081379920389;-0.0842022255322877;-0.704368641532024;-0.915993537964459;-0.522922059246477;-0.851907116505703;0.472568367007206
-0.796185935637664;-0.897111913357401;-0.689203925845147;-0.486345307917888;-0.769541778975741;-0.731652129484325;-0.406133828996282;-0.284186456623821;-0.701123595505619;-0.58512593233164;-0.624313438300988;0.220124021867333
-0.432556476128032;-0.730458221024259;-0.193505653938681;-0.546347607052897;-0.38935861303271;-0.43019943019943;-0.289841116995667;-0.564584454471443;-0.497938555658997;-0.458844133099825;-0.369115433428766;0.141604619329689
-0.477503628447025;-0.217160548429898;-0.856687898089172;-0.308997222079529;-0.568862275449103;-0.351298701298701;-0.5;-0.862764647234806;-0.407509608751354;-0.592183517417162;-0.495775900400178;0.156442285736017
-0.270285087719299;-0.261542119654958;-0.360032157061859;-0.604861833550065;-0.652797704447633;-0.455292492378049;-0.15590525632706;-0.601387955630636;-0.563914280167793;-0.391008962127783;-0.268250539956804;0.264285963308498
-0.00418410041841023;-0.731091485507246;-0.251988743979652;-0.495137606612151;-0.319695528068506;-0.0405273437499999;-0.324687800192123;-0.376101255021864;-0.395218767364886;-0.53704390847248;-0.464055448098001;0.364763685225726
-0.00418410041841023;-0.731091485507246;-0.251988743979652;-0.495137606612151;-0.319695528068506;-0.0405273437499999;-0.324687800192123;-0.376101255021864;-0.395218767364886;-0.53704390847248;-0.464055448098001;0.364763685225726
-0.161987431619875;-0.740409207161125;-0.0800496782206166;-0.933253873659118;-0.10281288218508;-0.371508941129194;-0.521758241758242;-0.776239743132355;-0.504240052185257;-0.527820578668036;-0.64895686120867;0.089304482362211
-0.161987431619875;-0.770341207349082;-0.0800496782206166;-1;-0.105467486250404;-0.371508941129194;-0.566057298772169;-0.776239743132355;-0.479126327789942;-0.529323081561887;-0.64895686120867;0.0370221480835298
-0.373469172297297;-0.203454894433781;-0.920498084291188;-0.121164355363557;-0.408678756476684;-0.603379953379953;0.157343660355708;-0.343461064983339;-0.465904124659041;-0.341084726710692;-0.582396235521235;0.177722933614649
-0.365320648091849;-0.826572410147992;-0.752650176678445;-0.764043478260869;-0.428174270698453;-0.255802629443272;-0.21078431372549;-0.851646560156547;-0.301054549276529;-0.471614335553441;-0.705819235308845;0.16914709652497
-0.411044654532982;-0.73184046345811;-0.920498084291188;-0.72368973132131;-0.552704800398324;-0.0876824970632656;-0.467250182348651;-0.845802072168676;-0.152336105675146;-0.405984062546985;-0.715248546193338;0.101110131739633
-0.278433889602054;-0.574819401444788;-0.375261324041811;-0.781119208029699;-0.509585142132769;-0.617303267372296;-0.161904761904762;-0.975114881583574;-0.554832085347224;-0.434851538358189;-0.468965517241379;0.120439864405609
-0.844680851063829;-0.248433303491495;-0.899310344827586;-0.714769471216463;-0.309386102619185;-0.520059860102233;0.257622624834291;-0.637067869117831;-0.121129713039291;-0.253597196454339;-0.228951367781155;0.183895396511885
-0.844680851063829;-0.269176536943034;-1;-0.714769471216463;-0.282372881355932;-0.482962704234098;0.034310349225785;-0.69088477824828;-0.0261348005502061;-0.253597196454339;-0.228951367781155;0.153705280127857
-0.373469172297297;-0.203454894433781;-0.920498084291188;-0.121164355363557;-0.408678756476684;-0.603379953379953;0.157343660355708;-0.343461064983339;-0.465904124659041;-0.341084726710692;-0.582396235521235;0.177722933614649
-0.359231651376146;-0.641573841178584;-0.301030531908085;-0.217807733238737;-0.333123953098827;-0.404001111419839;0.182795698924731;-0.258748189372573;-0.50266429840142;-0.379546427043217;-0.577079107505071;0.388889986585775
-0.333589338152247;-0.649014778325123;-0.358305994631672;-0.549459563050978;-0.475762749610274;-0.403389830508475;0.0746753246753247;-0.473462184150481;-0.439622641509435;-0.302978723404255;-0.49594048145574;0.547810594591205
-0.237533882733904;-0.853427895981087;-0.403846153846154;-0.676216411615857;-0.448346913927133;-0.345090216701424;0.415761737464069;-0.375214377130619;-0.470763977806231;-0.649882352941176;-0.487179487179488;0.19656034251068
-0.857887874837027;-0.567927927927928;-0.328027235921972;-0.511270432443617;-0.649115303228129;-0.521158328850637;-0.00296735905044501;-0.227749984622641;-0.32716049382716;-0.469323567427833;-0.625375912931404;0.139555814149946
-0.518590998043052;-0.449986975774941;-0.21861828843687;-0.332472299168975;-0.863560732113145;0.191877377489371;0.0892913220977703;-0.281728444802584;-0.0168495820983204;-0.607556199811325;-0.666157760814249;0.488693344228566
-0.196060422488422;-0.534103410341034;-0.231261022927689;-0.550354537496353;-0.124030077593793;-0.455292492378049;0.163636363636364;-0.909027442135205;-0.504081563526741;-0.381066666666666;-0.830826545321917;0.282605354973001
-0.291825095057034;-0.886685552407932;-0.11658526226375;-0.62064128256513;-0.785365853658537;-0.72403776325345;-0.233240997229917;-0.719470950597898;-0.665753424657534;-0.270051508462105;-0.507389162561576;0.194894581096238
-0.21578947368421;-0.681422222222222;-0.418740224655197;-0.335471571734034;-0.659056316590563;-0.72650560628829;-0.0939069867784387;-0.187377110450286;-0.504132231404958;-0.244264507422402;-0.364652491806035;0.228091387057304
-0.902962206332993;-0.418117343649258;-0.914414414414414;-0.0021273766786332;-0.868055555555556;-0.266832917705736;-0.429481346678799;-0.237683229031031;-0.207422588722073;-0.53704390847248;-0.592658029053789;0.341492156652632
