"V1";"V2";"V3";"V4";"V5";"sil"
0.671140939597315;-0.0120481927710843;-0.0896057347670254;-0.0409356725146202;-0.0669291338582679;0.666528664578958
0.679727891156463;0.0212464589235126;0.1437125748503;-0.0410297666934835;-0.0669291338582679;0.673673110881424
0.688;0.107929515418502;0.170854271356784;0.255501222493887;0.163742690058479;0.684696428390616
0.695944055944056;0.124413145539906;0.167597765363128;0.229113924050633;0.16969696969697;0.69303054029664
0.70354609929078;-0.00569259962049273;0.170854271356784;0.247044917257683;0.178571428571429;0.699597988395485
0.710791366906475;0.0263157894736844;0.128279883381924;0.17125;0.123529411764706;0.707441803895667
0.717664233576642;0.124413145539906;0.0218579234972678;0.127450980392157;-0.016544117647059;0.711963513913495
0.724148148148148;0.123115577889447;0.14977973568282;0.235498839907192;0.113924050632911;0.719391599397423
0.730225563909774;-0.0761209593326385;0.1437125748503;0.0144804088586028;-0.016544117647059;0.719378274227609
0.73587786259542;0.0115511551155116;0.08187134502924;-0.0438521066208084;-0.0669291338582679;0.727829263380749
0.741085271317829;0.00284090909090941;-0.127429805615551;-0.0410297666934835;-0.0355555555555556;0.732894721548341
0.745826771653543;-0.0019417475728151;0.08187134502924;-0.0397175639894084;-0.0669291338582679;0.738402291538798
0.75008;-0.0112866817155754;-0.0896057347670254;-0.0397175639894084;0.00985221674876821;0.742819769101676
0.753821138211382;-0.00255754475703311;0.14977973568282;0.183080808080808;0.178571428571429;0.74972928271318
0.75702479338843;-0.0112866817155754;0.0863039399624767;0.134057971014493;0.102857142857143;0.75212804025063
0.759663865546219;0.0262096774193547;0.08187134502924;0.256009615384615;0.163742690058479;0.754074540533727
0.761709401709402;0.0505952380952377;0.1437125748503;0.205357142857143;0.16969696969697;0.757997471344934
0.763130434782609;0.063253012048193;0.146179401993356;0.209862385321101;0.0348027842227378;0.757407534637565
0.763893805309734;0.113888888888889;0.1437125748503;0.235498839907192;0.113924050632911;0.758582938188411
0.763963963963964;0.123115577889447;0.146179401993356;0.209862385321101;0.0660146699266506;0.757593760300266
0.763302752293578;0.107929515418502;0.1437125748503;0.154444444444444;0.0348027842227378;0.755577930651391
